Índice,Data,Acurácia de Treino,Acurácia de Teste
0,2023-12-06 16:09:25,0.8837209343910217,0.800000011920929
1,2023-12-06 16:16:20,0.8139534592628479,0.9333333373069763
2,2023-12-06 16:52:34,0.7441860437393188,0.6666666865348816
3,2023-12-06 17:03:01,0.9069767594337463,0.6666666865348816
4,2023-12-06 17:13:54,0.930232584476471,0.7333333492279053
5,2023-12-06 17:21:28,0.8837209343910217,0.800000011920929
6,2023-12-06 17:28:13,0.8837209343910217,0.6000000238418579
7,2023-12-06 17:34:18,0.8372092843055725,0.8666666746139526
8,2023-12-06 17:40:27,0.9534883499145508,0.6666666865348816
9,2023-12-06 17:53:57,0.9069767594337463,0.7333333492279053
10,2023-12-06 18:03:01,0.8604651093482971,0.6000000238418579
11,2023-12-06 19:41:55,0.8604651093482971,0.6666666865348816
12,2023-12-06 20:07:08,0.7441860437393188,0.6666666865348816
13,2023-12-08 09:07:13,0.8837209343910217,0.7333333492279053
14,2023-12-08 09:13:25,0.8604651093482971,0.6000000238418579
15,2023-12-08 10:06:55,0.9069767594337463,0.6666666865348816
16,2023-12-08 10:08:39,0.9069767594337463,0.6000000238418579
17,2023-12-08 10:39:19,0.8604651093482971,0.7333333492279053
18,2023-12-08 10:41:26,0.8604651093482971,0.7333333492279053
19,2023-12-08 10:43:32,0.9069767594337463,0.800000011920929
20,2023-12-08 11:03:53,0.7209302186965942,0.8666666746139526
21,2023-12-08 11:06:00,0.930232584476471,0.6666666865348816
